h,K
0.3,1.375E-04
0.39,9.582E-05
0.447,6.500E-05
4.96E+01,4.166E-05
5.45E+01,2.666E-05
6.00E+01,1.667E-05
6.60E+01,9.582E-06
7.25E+01,5.166E-06
7.75E+01,2.582E-06
8.60E+01,1.292E-06
9.80E+01,5.832E-07
1.14E+02,2.416E-07
1.45E+02,9.166E-08
2.20E+02,2.750E-08
4.10E+02,8.332E-09
9.25E+02,2.332E-09
2.65E+03,5.832E-10
7.60E+03,1.558E-10
4.15E+04,2.750E-11
1.51E+05,5.416E-12
