h,theta
1.40E+00, 0.44
3.00E+00, 0.44
1.00E+01, 0.43
3.00E+01, 0.42
3.90E+01, 0.40
4.47E+01, 0.38
4.96E+01, 0.36
5.45E+01, 0.34
6.00E+01, 0.32
6.60E+01, 0.30
7.25E+01, 0.28
7.75E+01, 0.26
8.60E+01, 0.24
9.80E+01, 0.22
1.14E+02, 0.20
1.45E+02, 0.18
2.20E+02, 0.16
4.10E+02, 0.14
9.25E+02, 0.12
2.65E+03, 0.10
7.60E+03, 0.08
4.15E+04, 0.06
1.51E+05, 0.04
